n_ocupacao,media_EME,var_EME,DP_EME
0,-6.862817135418396e-05,5.716905880514939e-07,0.0007561022338622562
10,-2.0781477508020143,0.07446661587464869,0.2728857194406638
20,-2.9291758387012403,0.12668954822234893,0.3559347527600374
30,-3.1258396101934336,0.15559869842572782,0.39446000865198977
40,-3.0208094742274225,0.16233724938672037,0.4029109695537221
50,-2.7866386032384467,0.14930806935966454,0.386404023477583
60,-2.600594889514754,0.147241940777788,0.3837211758266515
70,-2.4024612218246193,0.11810998586424326,0.3436713340740587
80,-2.351853584062652,0.10633636064654897,0.3260925645373549
90,-2.336865851246603,0.12558903494417126,0.3543854327482596
100,-2.344473153258221,0.11912894249030373,0.3451506084165342
