n_ocupacao,media_MAE,var_MAE,DP_MAE
0,0.001987491149425267,1.2493748665707072e-06,0.001117754385619089
10,4.945671098708656,0.26441954683936264,0.5142174120344065
20,6.636980621373929,0.4662444460342114,0.6828209472725711
30,7.835116678888708,0.6628036299352933,0.8141275268256769
40,8.77359665141261,0.8131850160171087,0.9017677173291959
50,9.524685630929994,0.9579733623587672,0.9787611365183884
60,10.162339538561795,1.1074688745424126,1.0523634707373744
70,10.719609332040205,1.200391618088003,1.0956238488130874
80,11.281970581569661,1.309467731193549,1.1443197678942494
90,11.68487241829333,1.4436945775771397,1.2015384211822524
100,11.900624309736003,1.4833578920789228,1.2179318092893883
