n_ocupacao,media_SNR,var_SNR,DP_SNR
0,nan,nan,nan
10,-33.845076873179934,0.31779904786833124,0.5637366830962229
20,-32.777612443762365,1.182740498937974,1.0875387344540763
30,-32.06518028160341,0.13427087810701177,0.36642990885981425
40,-31.43412346545432,0.19500488560128726,0.44159357513587905
50,-30.67034527623949,0.16203030086643258,0.402529875743941
60,-30.022255970999456,0.4218970448802402,0.6495360227733641
70,-29.510252230836542,0.11876271367197701,0.3446196652426803
80,-29.172522152152634,0.15077743308130845,0.3883006993057165
90,-28.729121221481797,0.2995296858905567,0.5472930530260335
100,-28.36987535419743,0.2662493650737169,0.5159935707678118
